tournament_id	capture_key	name	class	queue_priority	basis
270	SS-270	Africa Cup of Nations	core	1	G1:CORE взрослые мужские
278	SS-278	Liga AUF Uruguaya	core	1	G1:CORE взрослые мужские
281	SS-281	Puchar Polski	core	1	G1:CORE взрослые мужские
282	SS-282	MOL Cup	core	1	G1:CORE взрослые мужские
291	SS-291	Slovenia Cup	core	1	G1:CORE взрослые мужские
295	SS-295	World Cup Qual. CONMEBOL	core	1	G1:CORE взрослые мужские
303	SS-303	Slovnaft Cup	core	1	G1:CORE взрослые мужские
305	SS-305	MOL Magyar Kupa	core	1	G1:CORE взрослые мужские
307	SS-307	Hrvatski nogometni kup	core	1	G1:CORE взрослые мужские
308	SS-308	World Cup Qual. AFC	core	1	G1:CORE взрослые мужские
309	SS-309	World Cup Qual. OFC	core	1	G1:CORE взрослые мужские
312	SS-312	Ukraine Cup	core	1	G1:CORE взрослые мужские
314	SS-314	Mozzart Kup Srbije	core	1	G1:CORE взрослые мужские
315	SS-315	Cyprus Cup	core	1	G1:CORE взрослые мужские
323	SS-323	Emperor Cup	core	1	G1:CORE взрослые мужские
325	SS-325	Brasileirão Betano	core	1	G1:CORE взрослые мужские
326	SS-326	Belgian Cup	core	1	G1:CORE взрослые мужские
327	SS-327	Taça da Liga	core	1	G1:CORE взрослые мужские
328	SS-328	Coppa Italia	core	1	G1:CORE взрослые мужские
329	SS-329	Copa del Rey	core	1	G1:CORE взрослые мужские
330	SS-330	Eurojackpot KNVB Beker	core	1	G1:CORE взрослые мужские
331	SS-331	Scottish Challenge Cup	core	1	G1:CORE взрослые мужские
332	SS-332	Scottish League Cup	core	1	G1:CORE взрослые мужские
334	SS-334	Football League Trophy	core	1	G1:CORE взрослые мужские
335	SS-335	Coupe de France	core	1	G1:CORE взрослые мужские
336	SS-336	Taça de Portugal	core	1	G1:CORE взрослые мужские
338	SS-338	Belgian Super Cup	core	1	G1:CORE взрослые мужские
339	SS-339	Trophée des Champions	core	1	G1:CORE взрослые мужские
340	SS-340	Johan Cruijff Schaal	core	1	G1:CORE взрослые мужские
341	SS-341	Supercoppa Italiana	core	1	G1:CORE взрослые мужские
345	SS-345	Supertaça	core	1	G1:CORE взрослые мужские
346	SS-346	Community Shield	core	1	G1:2 → core (суперкубок, не любители)
347	SS-347	Scottish Cup	core	1	G1:CORE взрослые мужские
348	SS-348	North Macedonia Cup	core	1	G1:CORE взрослые мужские
355	SS-355	Cupa României Betano	core	1	G1:CORE взрослые мужские
356	SS-356	Eesti Superkarikas	core	1	G1:CORE взрослые мужские
357	SS-357	FIFA Club World Cup	core	1	G1:CORE взрослые мужские
358	SS-358	South African Premier Division	core	1	G1:CORE взрослые мужские
365	SS-365	Bulgarian Cup	core	1	G1:CORE взрослые мужские
367	SS-367	Welsh League Cup	core	1	G1:CORE взрослые мужские
370	SS-370	State Cup	core	1	G1:CORE взрослые мужские
372	SS-372	Paulista Série A1	core	1	G1:CORE взрослые мужские
373	SS-373	Copa Betano do Brasil	core	1	G1:CORE взрослые мужские
374	SS-374	Baianão Mansão Green 2026	core	1	G1:CORE взрослые мужские
375	SS-375	Greek Football Cup	core	1	G1:CORE взрослые мужские
376	SS-376	Catarinense	core	1	G1:CORE взрослые мужские
377	SS-377	Gaúcho	core	1	G1:CORE взрослые мужские
378	SS-378	Cearense	core	1	G1:CORE взрослые мужские
379	SS-379	Mineiro, Módulo I	core	1	G1:CORE взрослые мужские
380	SS-380	Pernambucano	core	1	G1:CORE взрослые мужские
381	SS-381	Goiano	core	1	G1:CORE взрослые мужские
382	SS-382	Paranaense	core	1	G1:CORE взрослые мужские
384	SS-384	CONMEBOL Libertadores	core	1	G1:CORE взрослые мужские
388	SS-388	FAW Welsh Cup	core	1	G1:CORE взрослые мужские
390	SS-390	Brasileirão Série B	core	1	G1:CORE взрослые мужские
392	SS-392	East Asian Championship	core	1	G1:CORE взрослые мужские
393	SS-393	Japanese Super Cup	core	1	G1:CORE взрослые мужские
395	SS-395	Division 2, Ostra Götaland	core	1	G1:CORE взрослые мужские
397	SS-397	Russian Supercup	core	1	G1:CORE взрослые мужские
399	SS-399	Schweizer Cup	core	1	G1:CORE взрослые мужские
402	SS-402	J2 League	core	1	G1:CORE взрослые мужские
