id	name	country	confederation	tier	class	route	live	current_saison_id	step2_saison_ids	fotmob_id	sofascore_id	fbref_id	reason
C3NO	Championnat National 2 - Groupe F	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
C3PL	Championnat National 2 - Groupe D	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
C3VL	Championnat National 2 - Groupe C	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
C591	Campeonato Sudamericano 1959	International	Americas	international	archive	pokal	0	1958					rule:national team (review C9-F4, registry says club cup); archive: current edition 1959 is not live
C592	Campeonato Sudamericano 1959 Ecuador	International	Americas	international	archive	pokal	0	1958					rule:national team (review C9-F4, registry says club cup); archive: current edition 1959 is not live
CA1	Campeonato Sudamericano 1916	International	Americas	international	archive	pokal	0	1915					rule:national team (review C9-F4, registry says club cup); archive: current edition 1916 is not live
CA16	Copa América Centenario 2016	International	Americas	international	archive	pokal	0	2015	2015				rule:national team (review C9-F4, registry says club cup); archive: current edition 2016 is not live
CA17	Caribbean Cup (- 2017)	International	Americas	international	archive	pokal	0	2016	2016				rule:national team (review C9-F4, registry says club cup); archive: current edition 2017 is not live
CA19	Campeonato Sudamericano 1919	International	Americas	international	archive	pokal	0	1918					rule:national team (review C9-F4, registry says club cup); archive: current edition 1919 is not live
CA2	Campeonato Sudamericano 1917	International	Americas	international	archive	pokal	0	1916					rule:national team (review C9-F4, registry says club cup); archive: current edition 1917 is not live
CA20	Campeonato Sudamericano 1920	International	Americas	international	archive	pokal	0	1919					rule:national team (review C9-F4, registry says club cup); archive: current edition 1920 is not live
CA21	Campeonato Sudamericano 1921	International	Americas	international	archive	pokal	0	1920					rule:national team (review C9-F4, registry says club cup); archive: current edition 1921 is not live
CA22	Campeonato Sudamericano 1922	International	Americas	international	archive	pokal	0	1921					rule:national team (review C9-F4, registry says club cup); archive: current edition 1922 is not live
CA23	Campeonato Sudamericano 1923	International	Americas	international	archive	pokal	0	1922					rule:national team (review C9-F4, registry says club cup); archive: current edition 1923 is not live
CA24	Campeonato Sudamericano 1924	International	Americas	international	archive	pokal	0	1923					rule:national team (review C9-F4, registry says club cup); archive: current edition 1924 is not live
CA25	Campeonato Sudamericano 1925	International	Americas	international	archive	pokal	0	1924					rule:national team (review C9-F4, registry says club cup); archive: current edition 1925 is not live
CA26	Campeonato Sudamericano 1926	International	Americas	international	archive	pokal	0	1925					rule:national team (review C9-F4, registry says club cup); archive: current edition 1926 is not live
CA27	Campeonato Sudamericano 1927	International	Americas	international	archive	pokal	0	1926					rule:national team (review C9-F4, registry says club cup); archive: current edition 1927 is not live
CA29	Campeonato Sudamericano 1929	International	Americas	international	archive	pokal	0	1928					rule:national team (review C9-F4, registry says club cup); archive: current edition 1929 is not live
CA35	Campeonato Sudamericano 1935	International	Americas	international	archive	pokal	0	1934					rule:national team (review C9-F4, registry says club cup); archive: current edition 1935 is not live
CA37	Campeonato Sudamericano 1937	International	Americas	international	archive	pokal	0	1936					rule:national team (review C9-F4, registry says club cup); archive: current edition 1937 is not live
CA39	Campeonato Sudamericano 1939	International	Americas	international	archive	pokal	0	1938					rule:national team (review C9-F4, registry says club cup); archive: current edition 1939 is not live
CA41	Campeonato Sudamericano 1941	International	Americas	international	archive	pokal	0	1940					rule:national team (review C9-F4, registry says club cup); archive: current edition 1941 is not live
CA43	Campeonato Sudamericano 1942	International	Americas	international	archive	pokal	0	1941					rule:national team (review C9-F4, registry says club cup); archive: current edition 1942 is not live
CA45	Campeonato Sudamericano 1945	International	Americas	international	archive	pokal	0	1944					rule:national team (review C9-F4, registry says club cup); archive: current edition 1945 is not live
CA46	Campeonato Sudamericano 1946	International	Americas	international	archive	pokal	0	1945					rule:national team (review C9-F4, registry says club cup); archive: current edition 1946 is not live
CA47	Campeonato Sudamericano 1947	International	Americas	international	archive	pokal	0	1946					rule:national team (review C9-F4, registry says club cup); archive: current edition 1947 is not live
